,submission_id,topic_champion
143,nzqkf5,jhin
144,nzqhv9,aatrox
144,nzqhv9,ahri
145,nzqh2k,miss fortune
146,nzqgpq,aatrox
146,nzqgpq,ahri
147,nzqghb,dr. mundo
148,nzqd9i,aatrox
148,nzqd9i,ahri
149,nzqcdx,kassadin
150,nzq4q0,jhin
151,nzq1yh,bard
152,nzq0qg,aatrox
152,nzq0qg,ahri
153,nzq043,twisted fate
154,nzpzrn,aatrox
154,nzpzrn,ahri
155,nzpzba,aatrox
155,nzpzba,ahri
156,nzpzao,master yi
157,nzptys,aatrox
157,nzptys,ahri
158,nzprnc,kog'maw
159,nzpj5d,aatrox
159,nzpj5d,ahri
160,nzpiaa,aatrox
160,nzpiaa,ahri
161,nzph8j,aatrox
161,nzph8j,ahri
162,nzpfl7,vi
163,nzpch6,aatrox
163,nzpch6,ahri
164,nzpazf,aatrox
164,nzpazf,ahri
165,nzpa3c,aatrox
165,nzpa3c,ahri
166,nzp5l2,katarina
167,nzp04y,aatrox
167,nzp04y,ahri
168,nzosi7,aatrox
168,nzosi7,ahri
169,nzosc2,aatrox
169,nzosc2,ahri
170,nzooec,aatrox
170,nzooec,ahri
171,nzomo1,ezreal
171,nzomo1,syndra
172,nzokwz,senna
173,nzojcq,aatrox
173,nzojcq,ahri
174,nzoe0s,aatrox
174,nzoe0s,ahri
175,nzocko,aatrox
175,nzocko,ahri
176,nzobpn,aatrox
176,nzobpn,ahri
177,nznzkq,orianna
177,nznzkq,rumble
178,nzntd6,aatrox
178,nzntd6,ahri
179,nznslt,aatrox
179,nznslt,ahri
180,nzno62,warwick
181,nznmzi,aatrox
181,nznmzi,ahri
182,nznizc,aatrox
182,nznizc,ahri
183,nznio0,ezreal
184,nzn0ir,yuumi
185,nzmzma,aatrox
185,nzmzma,ahri
186,nzmycu,aatrox
186,nzmycu,ahri
187,nzmu1e,aatrox
187,nzmu1e,ahri
188,nzmrae,kog'maw
189,nzmq2n,karma
189,nzmq2n,gwen
