,submission_id,topic_champion
23620,ozk6qo,aatrox
23620,ozk6qo,ahri
23621,ozk2tb,shen
23622,ozk1bm,aatrox
23622,ozk1bm,ahri
23623,ozjwzd,aatrox
23623,ozjwzd,ahri
23624,ozjpx2,aatrox
23624,ozjpx2,ahri
23625,ozjobb,soraka
23626,ozjng8,aatrox
23626,ozjng8,ahri
23627,ozjndv,aatrox
23627,ozjndv,ahri
23628,ozjk3q,aatrox
23628,ozjk3q,ahri
23629,ozjjql,aatrox
23629,ozjjql,ahri
23630,ozjjio,aatrox
23630,ozjjio,ahri
23631,ozjj51,aatrox
23631,ozjj51,ahri
23632,ozjidv,aatrox
23632,ozjidv,ahri
23633,ozjfyo,aatrox
23633,ozjfyo,ahri
23634,ozje8j,aatrox
23634,ozje8j,ahri
23635,ozja2k,aatrox
23635,ozja2k,ahri
23636,ozj9d9,akshan
23637,ozj76z,aatrox
23637,ozj76z,ahri
23638,ozj758,aatrox
23638,ozj758,ahri
23639,oziyz2,aatrox
23639,oziyz2,ahri
23640,ozisbu,aatrox
23640,ozisbu,ahri
23641,oziljh,aatrox
23641,oziljh,ahri
23642,ozij8i,viego
23643,oziiaf,aatrox
23643,oziiaf,ahri
23644,oziec4,aatrox
23644,oziec4,ahri
23645,ozibd1,aurelion sol
23645,ozibd1,draven
23646,oziat7,aatrox
23646,oziat7,ahri
23647,ozi50q,aurelion sol
23647,ozi50q,kha'zix
23648,ozi4os,ornn
23649,ozi2rw,aatrox
23649,ozi2rw,ahri
23650,ozi1lc,viego
23651,ozhxtw,aatrox
23651,ozhxtw,ahri
23652,ozhv88,aatrox
23652,ozhv88,ahri
23653,ozhslj,aatrox
23653,ozhslj,ahri
23654,ozhrji,aatrox
23654,ozhrji,ahri
23655,ozhqir,aatrox
23655,ozhqir,ahri
23656,ozhogt,aatrox
23656,ozhogt,ahri
23657,ozhm8i,aatrox
23657,ozhm8i,ahri
23658,ozhj5w,aatrox
23658,ozhj5w,ahri
23659,ozhixd,aatrox
23659,ozhixd,ahri
23660,ozhhsx,aatrox
23660,ozhhsx,ahri
23661,ozhgd1,aatrox
23661,ozhgd1,ahri
23662,ozhb2s,zilean
23663,ozha1k,aatrox
23663,ozha1k,ahri
23664,ozh92h,akshan
23665,ozh6u8,aatrox
23665,ozh6u8,ahri
23666,ozh5zp,pantheon
23667,ozh50c,aatrox
23667,ozh50c,ahri
23668,ozh1m2,diana
23668,ozh1m2,yone
23669,ozgz09,aatrox
23669,ozgz09,ahri
23670,ozgxiu,aatrox
23670,ozgxiu,ahri
23671,ozgvmq,aatrox
23671,ozgvmq,ahri
23672,ozgrqn,aatrox
23672,ozgrqn,ahri
23673,ozgqra,master yi
23674,ozgorb,tahm kench
23675,ozgmw9,aatrox
23675,ozgmw9,ahri
23676,ozgjmh,aatrox
23676,ozgjmh,ahri
23677,ozgifb,aurelion sol
23678,ozghc7,aatrox
23678,ozghc7,ahri
23679,ozgfa0,aatrox
23679,ozgfa0,ahri
23680,ozgc2m,aatrox
23680,ozgc2m,ahri
23681,ozgba0,aatrox
23681,ozgba0,ahri
23682,ozg9x9,aatrox
23682,ozg9x9,ahri
23683,ozg9gq,aatrox
23683,ozg9gq,ahri
23684,ozg66t,syndra
23685,ozg3a5,lux
23685,ozg3a5,sylas
23686,ozg2z2,aatrox
23686,ozg2z2,ahri
23687,ozg0wr,aatrox
23687,ozg0wr,ahri
23688,ozfz8t,blitzcrank
23689,ozfyj9,rammus
23690,ozfvql,aatrox
23690,ozfvql,ahri
23691,ozfuqp,aatrox
23691,ozfuqp,ahri
23692,ozftol,aatrox
23692,ozftol,ahri
23693,ozftbx,xerath
23694,ozfo2n,aatrox
23694,ozfo2n,ahri
23695,ozfmiv,fiora
23695,ozfmiv,yasuo
23696,ozfl6i,aatrox
23696,ozfl6i,ahri
23697,ozfi6o,miss fortune
23698,ozfi56,aatrox
23698,ozfi56,ahri
23699,ozfgey,tahm kench
23700,ozf6n3,aatrox
23700,ozf6n3,ahri
23701,ozf3so,aatrox
23701,ozf3so,ahri
23702,ozew6n,aatrox
23702,ozew6n,ahri
23703,ozevbd,bard
23703,ozevbd,sivir
23704,ozeq0d,yasuo
23705,ozeldm,kayn
23705,ozeldm,viego
23706,ozeksj,aatrox
23706,ozeksj,ahri
23707,ozejfk,draven
23708,ozei1s,aatrox
23708,ozei1s,ahri
23709,ozehyz,yasuo
23710,ozeejo,thresh
23711,ozedwj,twisted fate
23711,ozedwj,yuumi
23712,ozec30,aatrox
23712,ozec30,ahri
23713,ozeb48,riven
23714,ozeae1,aatrox
23714,ozeae1,ahri
23715,oze961,aatrox
23715,oze961,ahri
23716,oze8li,viego
23717,oze832,aatrox
23717,oze832,ahri
23718,oze7ri,kennen
23718,oze7ri,zed
23719,oze33l,aatrox
23719,oze33l,ahri
23720,oze2vl,aatrox
23720,oze2vl,ahri
23721,ozdz1l,aatrox
23721,ozdz1l,ahri
23722,ozdwje,blitzcrank
23723,ozdrag,aatrox
23723,ozdrag,ahri
23724,ozdqbz,aatrox
23724,ozdqbz,ahri
23725,ozdkl0,aatrox
23725,ozdkl0,ahri
23726,ozdc3e,kayn
23727,ozd8ud,kai'sa
23728,ozd7jc,varus
23729,ozd72k,aatrox
23729,ozd72k,ahri
23730,ozd6u8,kai'sa
23731,ozd3zd,pyke
23732,ozd3y1,yasuo
23733,ozd1wl,urgot
23734,ozd1on,kayn
23734,ozd1on,swain
23735,ozcyti,aatrox
23735,ozcyti,ahri
23736,ozcxrx,aatrox
23736,ozcxrx,ahri
23737,ozcxja,senna
23738,ozcx6g,aatrox
23738,ozcx6g,ahri
23739,ozcvka,aatrox
23739,ozcvka,ahri
23740,ozctpq,aphelios
23741,ozctjv,aatrox
23741,ozctjv,ahri
23742,ozcqbm,aatrox
23742,ozcqbm,ahri
23743,ozclb4,aatrox
23743,ozclb4,ahri
23744,ozchzk,aatrox
23744,ozchzk,ahri
23745,ozcgfs,aatrox
23745,ozcgfs,ahri
23746,ozcf0k,yuumi
23747,ozccna,yorick
23748,ozcc4b,aatrox
23748,ozcc4b,ahri
23749,ozcada,fiddlesticks
23749,ozcada,lux
23750,ozc7s0,aatrox
23750,ozc7s0,ahri
23751,ozc5f5,aatrox
23751,ozc5f5,ahri
23752,ozc3ez,aatrox
23752,ozc3ez,ahri
23753,ozc067,nocturne
23754,ozby65,aatrox
23754,ozby65,ahri
23755,ozbvgd,aatrox
23755,ozbvgd,ahri
23756,ozbvbw,lee sin
23756,ozbvbw,lillia
23757,ozbtjs,senna
23758,ozbqbp,viego
23759,ozbnak,aatrox
23759,ozbnak,ahri
23760,ozbm01,aatrox
23760,ozbm01,ahri
23761,ozbiof,aatrox
23761,ozbiof,ahri
23762,ozbij8,azir
23763,ozbhmc,sejuani
23764,ozbffo,graves
23764,ozbffo,lee sin
23765,ozbeid,irelia
23766,ozbbj9,aatrox
23766,ozbbj9,ahri
23767,ozb854,janna
23767,ozb854,kayle
23768,ozb7cm,garen
23768,ozb7cm,sona
23769,ozb6x9,evelynn
23770,ozb3a2,miss fortune
23771,ozb1eb,rengar
23772,ozb16f,aatrox
23772,ozb16f,ahri
23773,ozayug,leona
23774,ozatdn,kog'maw
23775,ozapd0,garen
23776,ozak2j,aatrox
23776,ozak2j,ahri
23777,ozaits,miss fortune
23778,ozai4c,aatrox
23778,ozai4c,ahri
23779,ozaewv,aatrox
23779,ozaewv,ahri
23780,ozadz4,riven
23780,ozadz4,teemo
23781,ozad82,aatrox
23781,ozad82,ahri
23782,ozactb,aatrox
23782,ozactb,ahri
23783,ozacf1,aatrox
23783,ozacf1,ahri
23784,ozabrh,yone
23785,oza2e6,aatrox
23785,oza2e6,ahri
23786,oza1d0,yorick
23787,oz9wdm,aatrox
23787,oz9wdm,ahri
23788,oz9tin,aatrox
23788,oz9tin,ahri
23789,oz9sig,katarina
23789,oz9sig,master yi
23790,oz9rx1,aatrox
23790,oz9rx1,ahri
23791,oz9r2o,aatrox
23791,oz9r2o,ahri
23792,oz9pux,aatrox
23792,oz9pux,ahri
23793,oz9nu3,aatrox
23793,oz9nu3,ahri
23794,oz9ccy,senna
23795,oz99ip,aatrox
23795,oz99ip,ahri
23796,oz95mq,aatrox
23796,oz95mq,ahri
23797,oz92p5,aatrox
23797,oz92p5,ahri
23798,oz92le,tristana
23799,oz92ic,ahri
23799,oz92ic,akali
23800,oz92hm,leona
23800,oz92hm,lulu
23801,oz8vyr,master yi
23802,oz8utw,aatrox
23802,oz8utw,ahri
23803,oz8tbm,aatrox
23803,oz8tbm,ahri
23804,oz8svr,aatrox
23804,oz8svr,ahri
23805,oz8s1m,miss fortune
23806,oz8qfq,kayle
23806,oz8qfq,zilean
23807,oz8m1f,aatrox
23807,oz8m1f,ahri
23808,oz8m0e,nunu and willump
23809,oz8kc9,vex
23810,oz8j4a,aatrox
23810,oz8j4a,ahri
23811,oz8fq7,vel'koz
23812,oz8cr9,viego
23813,oz8b8w,aatrox
23813,oz8b8w,ahri
23814,oz83vb,aatrox
23814,oz83vb,ahri
23815,oz7zyt,aatrox
23815,oz7zyt,ahri
23816,oz7yp1,aatrox
23816,oz7yp1,ahri
23817,oz7xt9,aatrox
23817,oz7xt9,ahri
23818,oz7pdz,aatrox
23818,oz7pdz,ahri
23819,oz7of4,nautilus
23820,oz7hv5,irelia
23821,oz7fn5,aatrox
23821,oz7fn5,ahri
23822,oz7ad7,aatrox
23822,oz7ad7,ahri
23823,oz71m2,aatrox
23823,oz71m2,fiddlesticks
23824,oz6z61,master yi
23825,oz6yru,aatrox
23825,oz6yru,ahri
23826,oz6vfj,aatrox
23826,oz6vfj,ahri
23827,oz6sf2,tahm kench
23828,oz6rod,aatrox
23828,oz6rod,ahri
23829,oz6rkv,aatrox
23829,oz6rkv,ahri
23830,oz6ql1,trundle
23831,oz6pvs,aatrox
23831,oz6pvs,ahri
23832,oz6imb,irelia
23833,oz6gl6,zed
23834,oz6cqd,aatrox
23835,oz674d,aatrox
23835,oz674d,ahri
23836,oz5vi3,aatrox
23836,oz5vi3,ahri
23837,oz5v3m,aatrox
23837,oz5v3m,ahri
23838,oz5uam,aatrox
23838,oz5uam,ahri
23839,oz5st3,gwen
23840,oz5mwi,heimerdinger
23840,oz5mwi,tahm kench
23841,oz5m1c,jayce
23841,oz5m1c,trundle
23842,oz5lwo,aatrox
23842,oz5lwo,ahri
23843,oz5ez2,aatrox
23843,oz5ez2,ahri
23844,oz5ems,miss fortune
23845,oz5dwr,aatrox
23845,oz5dwr,ahri
23846,oz57sm,lulu
23846,oz57sm,miss fortune
23847,oz50c7,aatrox
23847,oz50c7,ahri
23848,oz4ylg,aatrox
23848,oz4ylg,ahri
23849,oz4yfd,aatrox
23849,oz4yfd,ahri
23850,oz4w7m,lux
23851,oz4tv2,lulu
23852,oz4t2p,aatrox
23852,oz4t2p,ahri
23853,oz4sr7,leona
23854,oz4ppq,aatrox
23854,oz4ppq,ahri
23855,oz4oyi,aatrox
23855,oz4oyi,ahri
23856,oz4nm3,cassiopeia
23857,oz4ibh,ezreal
23858,oz4ht4,aatrox
23858,oz4ht4,ahri
23859,oz4ead,jax
23860,oz4d21,aatrox
23860,oz4d21,ahri
23861,oz4brg,aatrox
23861,oz4brg,ahri
23862,oz476b,aatrox
23863,oz4762,aatrox
23863,oz4762,ahri
23864,oz46t8,hecarim
23864,oz46t8,leblanc
23865,oz42vv,tahm kench
23866,oz42qa,aatrox
23866,oz42qa,ahri
23867,oz3z59,ziggs
23868,oz3w65,skarner
23869,oz3smw,aatrox
23869,oz3smw,ahri
23870,oz3rop,fiora
23871,oz3qpn,vladimir
23872,oz3plm,aatrox
23872,oz3plm,ahri
23873,oz3pej,twitch
23874,oz3onk,aatrox
23874,oz3onk,ahri
23875,oz3m2q,aatrox
23875,oz3m2q,ahri
23876,oz3l8s,aatrox
23876,oz3l8s,ahri
23877,oz3kw4,aatrox
23877,oz3kw4,ahri
23878,oz3j56,aatrox
23878,oz3j56,ahri
23879,oz3fm8,nunu and willump
23879,oz3fm8,tryndamere
23880,oz3fcc,aatrox
23880,oz3fcc,ahri
23881,oz3e9o,aatrox
23881,oz3e9o,ahri
23882,oz3crn,akali
23882,oz3crn,alistar
23883,oz3cds,aatrox
23883,oz3cds,ahri
23884,oz3bqr,shaco
23885,oz3b3q,miss fortune
23886,oz39w7,diana
23887,oz2ww6,aatrox
23887,oz2ww6,ahri
23888,oz2wn2,aatrox
23888,oz2wn2,ahri
23889,oz2v5m,rengar
23890,oz2rg0,aatrox
23890,oz2rg0,ahri
23891,oz2ne6,aatrox
23891,oz2ne6,ahri
23892,oz2l1p,aatrox
23892,oz2l1p,ahri
23893,oz2ixr,poppy
23894,oz2iwz,ornn
23894,oz2iwz,tahm kench
23895,oz2gxc,akshan
23896,oz2d2p,aatrox
23896,oz2d2p,ahri
23897,oz2d2n,master yi
23897,oz2d2n,twisted fate
23898,oz2bpg,aatrox
23898,oz2bpg,ahri
23899,oz2auh,aatrox
23899,oz2auh,ahri
23900,oz29w6,lillia
23901,oz29jt,pantheon
23902,oz292s,aatrox
23902,oz292s,ahri
23903,oz27e1,aatrox
23903,oz27e1,ahri
23904,oz22nj,aatrox
23904,oz22nj,ahri
23905,oz21ic,kayn
23905,oz21ic,lee sin
23906,oz1w79,miss fortune
23906,oz1w79,seraphine
23907,oz1tvw,aatrox
23907,oz1tvw,ahri
23908,oz1tky,aatrox
23908,oz1tky,ahri
23909,oz1pu7,aatrox
23909,oz1pu7,ahri
23910,oz1k1o,aatrox
23910,oz1k1o,ahri
23911,oz1e72,aatrox
23911,oz1e72,ahri
23912,oz1ate,akali
23912,oz1ate,gangplank
23913,oz19ze,fiddlesticks
23913,oz19ze,teemo
23914,oz17bt,aatrox
23914,oz17bt,ahri
23915,oz0zsa,swain
23916,oz0zdf,irelia
23917,oz0yhk,aatrox
23917,oz0yhk,ahri
23918,oz0ttr,kindred
23919,oz0qti,aatrox
23919,oz0qti,ahri
23920,oz0pt1,kassadin
23920,oz0pt1,nautilus
23921,oz0o27,aatrox
23921,oz0o27,ahri
23922,oz0f7c,aatrox
23922,oz0f7c,ahri
23923,oz0et5,aatrox
23923,oz0et5,ahri
23924,oz0ejn,jhin
23924,oz0ejn,miss fortune
23925,oz0d5y,aatrox
23925,oz0d5y,ahri
23926,oz0aa6,aatrox
23926,oz0aa6,ahri
23927,oz0a1i,akali
23927,oz0a1i,dr. mundo
23928,oz07ze,aatrox
23928,oz07ze,ahri
23929,oz07u2,aatrox
23930,oz0689,aatrox
23930,oz0689,ahri
23931,oz04e3,aatrox
23931,oz04e3,ahri
23932,oz01un,yuumi
23933,oz019o,aatrox
23933,oz019o,ahri
23934,oyzx03,aatrox
23934,oyzx03,ahri
23935,oyzvyq,aatrox
23935,oyzvyq,ahri
23936,oyzujg,aatrox
23936,oyzujg,ahri
23937,oyzqbt,pantheon
23938,oyzope,ashe
23938,oyzope,ezreal
23939,oyzoec,aatrox
23939,oyzoec,ahri
23940,oyznc8,irelia
23940,oyznc8,xerath
23941,oyziv9,aatrox
23941,oyziv9,ahri
23942,oyz7kr,singed
23942,oyz7kr,taliyah
23943,oyz6h6,aatrox
23943,oyz6h6,ahri
23944,oyz16m,aatrox
23944,oyz16m,ahri
23945,oyyxv4,azir
23946,oyyxks,aatrox
23946,oyyxks,ahri
23947,oyyvai,yorick
23948,oyyu09,twisted fate
23949,oyyrmg,aatrox
23949,oyyrmg,ahri
23950,oyylyl,nunu and willump
23951,oyyla0,thresh
23951,oyyla0,vayne
23952,oyyl9s,nunu and willump
23953,oyy17e,aatrox
23953,oyy17e,ahri
23954,oyxyrs,corki
23955,oyxycb,aatrox
23955,oyxycb,ahri
23956,oyxuu8,aatrox
23956,oyxuu8,ahri
23957,oyxspy,aatrox
23957,oyxspy,ahri
23958,oyxkww,ivern
23959,oyxjkn,aatrox
23959,oyxjkn,ahri
23960,oyxi0d,aatrox
23960,oyxi0d,ahri
23961,oyxdff,aatrox
23961,oyxdff,ahri
23962,oyxc8f,camille
23962,oyxc8f,lucian
23963,oyx8jr,leblanc
23963,oyx8jr,miss fortune
23964,oyx6hr,warwick
23965,oyx3sg,aatrox
23965,oyx3sg,ahri
23966,oyx3fx,aatrox
23966,oyx3fx,ahri
23967,oyx36e,aatrox
23967,oyx36e,ahri
23968,oywzz0,aatrox
23968,oywzz0,ahri
23969,oywz0e,aatrox
23969,oywz0e,ahri
23970,oywuri,irelia
23971,oywr1w,thresh
23972,oywmhj,corki
23973,oywkme,dr. mundo
23973,oywkme,garen
23974,oywk0z,aatrox
23974,oywk0z,ahri
23975,oywib0,aatrox
23975,oywib0,ahri
23976,oywffa,aatrox
23976,oywffa,ahri
23977,oywf6k,gragas
23977,oywf6k,viego
23978,oywe1x,aatrox
23978,oywe1x,ahri
23979,oywcfl,aatrox
23979,oywcfl,ahri
23980,oyw8n7,talon
23981,oyw5v2,aatrox
23981,oyw5v2,ahri
23982,oyw548,aatrox
23982,oyw548,ahri
23983,oyw4r3,sivir
23984,oyw4pn,aatrox
23984,oyw4pn,ahri
23985,oyw1k9,aatrox
23985,oyw1k9,ahri
23986,oyw0r4,aatrox
23986,oyw0r4,ahri
23987,oyvwe4,aatrox
23987,oyvwe4,ahri
23988,oyvt6h,aatrox
23988,oyvt6h,ahri
23989,oyvow2,illaoi
23990,oyvj4z,aatrox
23990,oyvj4z,ahri
23991,oyvism,lee sin
23992,oyvidu,twitch
23993,oyvgmg,aatrox
23993,oyvgmg,ahri
23994,oyvarn,cassiopeia
23995,oyv9xx,camille
23995,oyv9xx,renekton
23996,oyv8re,aatrox
23996,oyv8re,ahri
23997,oyv8c1,aatrox
23997,oyv8c1,ahri
23998,oyv81j,viego
23999,oyv6wo,viego
24000,oyv37j,dr. mundo
24001,oyv1q0,mordekaiser
24002,oyuz0w,aatrox
24002,oyuz0w,ahri
24003,oyuykp,pyke
24004,oyuwt4,malphite
24005,oyuvc5,tahm kench
24006,oyuuqp,aatrox
24006,oyuuqp,ahri
24007,oyuo9t,aatrox
24007,oyuo9t,ahri
24008,oyuo0s,aurelion sol
24008,oyuo0s,zilean
24009,oyukya,aatrox
24009,oyukya,ahri
24010,oyuja8,aatrox
24010,oyuja8,ahri
24011,oyuhsi,aatrox
24011,oyuhsi,ahri
24012,oyufrk,aatrox
24012,oyufrk,ahri
24013,oyuff9,aatrox
24013,oyuff9,ahri
24014,oyudr6,aatrox
24014,oyudr6,ahri
24015,oyud63,senna
24016,oyuchf,yasuo
24017,oyu94c,lucian
24017,oyu94c,mordekaiser
24018,oyu91w,aatrox
24018,oyu91w,ahri
24019,oyu2xk,aatrox
24019,oyu2xk,ahri
24020,oyu2c9,aatrox
24020,oyu2c9,ahri
24021,oyu0xs,aatrox
24021,oyu0xs,ahri
24022,oytx3w,aatrox
24022,oytx3w,ahri
24023,oytun8,aatrox
24023,oytun8,ahri
24024,oytskz,aatrox
24024,oytskz,ahri
24025,oyts3x,aatrox
24025,oyts3x,ahri
24026,oytrts,draven
24027,oytrjy,aatrox
24027,oytrjy,ahri
24028,oytorg,aatrox
24028,oytorg,ahri
24029,oytlgm,aatrox
24029,oytlgm,ahri
24030,oytifr,aatrox
24030,oytifr,ahri
24031,oytfzr,aatrox
24031,oytfzr,ahri
24032,oytf1l,aatrox
24032,oytf1l,ahri
24033,oytbut,aatrox
24033,oytbut,ahri
24034,oytbbp,master yi
24035,oyt5kk,aatrox
24035,oyt5kk,ahri
24036,oyt1oo,aatrox
24036,oyt1oo,ahri
24037,oyt1ci,aatrox
24037,oyt1ci,ahri
24038,oysyrn,aatrox
24038,oysyrn,ahri
24039,oysxyq,aatrox
24039,oysxyq,ahri
24040,oysxf0,aatrox
24040,oysxf0,ahri
24041,oysuta,lux
24042,oysufe,master yi
24043,oysuex,aatrox
24043,oysuex,ahri
24044,oystfp,xayah
24045,oyst2p,aatrox
24045,oyst2p,ahri
24046,oyssiw,aatrox
24046,oyssiw,ahri
24047,oysrq0,aatrox
24047,oysrq0,ahri
24048,oysrnw,nautilus
24049,oysn4p,lee sin
24049,oysn4p,nasus
24050,oysl8v,aatrox
24050,oysl8v,ahri
24051,oyshw9,aatrox
24051,oyshw9,ahri
24052,oysgqm,sett
24053,oysfee,aatrox
24053,oysfee,ahri
24054,oys7te,aatrox
24054,oys7te,ahri
24055,oys607,aatrox
24055,oys607,ahri
24056,oys183,nidalee
24057,oys0us,aatrox
24058,oyrxrh,aatrox
24058,oyrxrh,ahri
24059,oyrw4e,aatrox
24059,oyrw4e,ahri
24060,oyrsij,aatrox
24060,oyrsij,ahri
24061,oyrrfj,aatrox
24061,oyrrfj,ahri
24062,oyrqhq,blitzcrank
24062,oyrqhq,lux
24063,oyrl84,kayn
24064,oyrepv,aatrox
24064,oyrepv,ahri
24065,oyr8xb,bard
24066,oyr865,master yi
24067,oyr7pi,riven
24068,oyr0f9,aatrox
24068,oyr0f9,ahri
24069,oyqxq5,aatrox
24069,oyqxq5,ahri
24070,oyqtwr,lux
24071,oyqrrl,amumu
24072,oyqpxw,aatrox
24072,oyqpxw,ahri
24073,oyqp7v,aphelios
24073,oyqp7v,kalista
24074,oyqo8c,aatrox
24074,oyqo8c,ahri
24075,oyqnyz,aatrox
24075,oyqnyz,ahri
24076,oyqnwe,aatrox
24076,oyqnwe,ahri
24077,oyqkra,anivia
24077,oyqkra,xerath
24078,oyqja8,sona
24079,oyqhji,lee sin
24079,oyqhji,twisted fate
24080,oyqe19,alistar
24080,oyqe19,udyr
24081,oyqdg9,kayle
24081,oyqdg9,sion
24082,oyq50l,aatrox
24082,oyq50l,ahri
24083,oyq4vv,aatrox
24083,oyq4vv,ahri
24084,oyq1do,nidalee
24085,oyq15m,poppy
24086,oyq0k4,akshan
24087,oypxlg,aatrox
24087,oypxlg,ahri
24088,oypu5f,zed
24089,oyps02,aatrox
24089,oyps02,ahri
24090,oyprp6,aatrox
24090,oyprp6,ahri
24091,oypps2,brand
24092,oypp9a,aatrox
24092,oypp9a,ahri
24093,oypn73,aatrox
24093,oypn73,ahri
24094,oypmdl,aatrox
24094,oypmdl,ahri
24095,oypjv8,twitch
24096,oypizs,aatrox
24096,oypizs,ahri
24097,oypi5d,aatrox
24097,oypi5d,ahri
24098,oypc3d,aatrox
24098,oypc3d,ahri
24099,oyp7kk,katarina
24100,oyp1rx,aatrox
24100,oyp1rx,ahri
24101,oyows6,miss fortune
24102,oyouwv,irelia
24103,oyoshi,aatrox
24103,oyoshi,ahri
24104,oyordv,aatrox
24104,oyordv,ahri
24105,oyojmz,morgana
24106,oyofz5,aatrox
24106,oyofz5,ahri
24107,oyoeo6,aatrox
24107,oyoeo6,ahri
24108,oyodds,seraphine
24109,oyobwh,aatrox
24109,oyobwh,ahri
24110,oyoapi,aatrox
24110,oyoapi,ahri
24111,oyo6rj,aatrox
24111,oyo6rj,ahri
24112,oyo67l,aatrox
24112,oyo67l,ahri
24113,oyo62n,aatrox
24113,oyo62n,ahri
24114,oyo3mx,aatrox
24114,oyo3mx,ahri
24115,oyo2t8,vex
24116,oynw45,aatrox
24116,oynw45,ahri
24117,oynpa9,morgana
24118,oyno86,aatrox
24118,oyno86,ahri
24119,oynn9u,aatrox
24119,oynn9u,ahri
24120,oynisu,aatrox
24120,oynisu,ahri
24121,oyn6l6,aatrox
24121,oyn6l6,ahri
24122,oyn5ud,aatrox
24122,oyn5ud,ahri
24123,oyn0yb,lux
24124,oymymh,aatrox
24124,oymymh,ahri
24125,oymmls,aatrox
24125,oymmls,ahri
24126,oymm3v,aatrox
24126,oymm3v,ahri
24127,oymls4,trundle
24128,oymi98,viego
24129,oymhk5,irelia
24129,oymhk5,urgot
24130,oymegp,aatrox
24130,oymegp,ahri
24131,oymcrn,yone
24132,oym81m,yorick
24133,oym71d,aatrox
24133,oym71d,ahri
24134,oym3yj,aatrox
24134,oym3yj,ahri
24135,oym2hg,miss fortune
24136,oym157,aatrox
24136,oym157,ahri
24137,oyly3x,nunu and willump
24138,oylu2h,bard
24138,oylu2h,senna
24139,oylsyf,illaoi
24140,oylg0d,aatrox
24140,oylg0d,ahri
24141,oylc5e,volibear
24142,oyl8qy,viego
24143,oyl4vp,aatrox
24143,oyl4vp,ahri
24144,oyl2o2,thresh
24145,oyl0v7,ahri
24146,oykxnc,aatrox
24146,oykxnc,ahri
24147,oyksk5,viego
24148,oykpa0,aatrox
24148,oykpa0,ahri
24149,oykooy,mordekaiser
24149,oykooy,tahm kench
24150,oyklzg,aatrox
24150,oyklzg,ahri
24151,oykj50,thresh
24152,oykip8,renekton
24153,oykikx,aatrox
24153,oykikx,ahri
24154,oykh0l,aatrox
24154,oykh0l,ahri
24155,oyk8vy,aatrox
24155,oyk8vy,ahri
24156,oyk67a,aatrox
24156,oyk67a,ahri
24157,oyjy5b,aatrox
24157,oyjy5b,ahri
24158,oyjtzf,aatrox
24158,oyjtzf,ahri
24159,oyjtpp,volibear
24159,oyjtpp,xin zhao
24160,oyjtnv,aatrox
24160,oyjtnv,ahri
24161,oyjnph,aatrox
24161,oyjnph,ahri
24162,oyjmga,fiddlesticks
24163,oyjezd,aatrox
24163,oyjezd,ahri
24164,oyjeuu,aatrox
24164,oyjeuu,ahri
24165,oyjbjy,aatrox
24165,oyjbjy,ahri
24166,oyj8lh,viego
24167,oyj3xf,aatrox
24167,oyj3xf,ahri
24168,oyj0l1,teemo
24169,oyisx4,aatrox
24169,oyisx4,ahri
24170,oyiptu,aatrox
24170,oyiptu,ahri
24171,oyilyj,aatrox
24171,oyilyj,ahri
24172,oyigmg,aatrox
24172,oyigmg,ahri
24173,oyigaz,aatrox
24173,oyigaz,ahri
24174,oyifxv,aatrox
24174,oyifxv,ahri
24175,oyicse,aatrox
24175,oyicse,ahri
24176,oyi9lz,aatrox
24176,oyi9lz,ahri
24177,oyi9dp,aatrox
24177,oyi9dp,ahri
24178,oyi3fl,akshan
24179,oyi1ym,darius
24180,oyhoql,aatrox
24180,oyhoql,ahri
24181,oyhllr,viego
24182,oyhge6,aatrox
24182,oyhge6,ahri
24183,oyhdun,twisted fate
24184,oyha8k,aatrox
24184,oyha8k,ahri
24185,oyh92i,aatrox
24185,oyh92i,ahri
24186,oyh278,malphite
24187,oyh204,aatrox
24187,oyh204,ahri
24188,oyh0y0,rell
24189,oyh0qy,aatrox
24189,oyh0qy,ahri
24190,oyh0ct,aatrox
24190,oyh0ct,ahri
24191,oygze4,braum
24191,oygze4,gangplank
24192,oygwu7,yorick
24193,oygvqt,katarina
24193,oygvqt,miss fortune
24194,oygt0h,aatrox
24194,oygt0h,ahri
24195,oygl6m,twitch
24196,oygk6n,volibear
24197,oygjjl,kassadin
24197,oygjjl,qiyana
24198,oygiku,draven
24198,oygiku,yasuo
24199,oygejm,leona
24199,oygejm,orianna
24200,oyge3o,aatrox
24200,oyge3o,ahri
24201,oygdm0,sett
24202,oyg1md,aatrox
24202,oyg1md,ahri
24203,oyfutf,aatrox
24203,oyfutf,ahri
24204,oyfuk1,pyke
24205,oyft0z,aatrox
24205,oyft0z,ahri
24206,oyfo22,viego
24207,oyfm23,aatrox
24207,oyfm23,ahri
24208,oyfm1j,aatrox
24208,oyfm1j,ahri
24209,oyfitd,diana
24209,oyfitd,ornn
24210,oyfirb,aatrox
24210,oyfirb,ahri
24211,oyfioo,aatrox
24211,oyfioo,ahri
24212,oyfibq,tahm kench
24213,oyffbg,riven
24214,oyfdyj,rammus
24214,oyfdyj,rell
24215,oyfch3,miss fortune
24216,oyfbty,leona
24217,oyfamc,irelia
24218,oyfabe,aatrox
24218,oyfabe,ahri
24219,oyf6xu,aatrox
24219,oyf6xu,ahri
24220,oyf67u,lee sin
24221,oyf4i7,aatrox
24221,oyf4i7,ahri
24222,oyf3s5,aatrox
